eps,sparse 2%,sparse 5%,sparse 10%,sparse 20%,sparse 40%,dense
0.0,85.2,87.2,86.6,88.8,90.0,90.7
0.004,80.5,81.9,79.3,83.1,84.9,87.7
0.008,77.2,75.7,73.8,78.2,79.1,79.8
0.012,73.5,70.6,68.8,71.2,73.1,74.1
0.016,71.1,65.1,61.9,66.1,66.8,68.6
0.02,68.3,60.3,56.8,61.2,62.2,63.4
0.024,64.8,56.7,52.9,57.3,57.9,57.8
0.028,62.0,52.1,49.2,53.7,53.5,54.0
0.032,60.4,47.4,45.2,49.5,50.0,50.0
0.036000000000000004,57.6,42.1,41.7,45.5,46.3,46.4
0.04,55.5,39.6,37.7,42.9,41.9,42.6
0.044,53.6,36.3,36.7,39.7,38.3,39.7
0.048,51.1,33.2,33.7,37.5,35.1,36.9
0.052000000000000005,49.2,29.7,30.1,33.1,31.7,32.8
0.056,46.0,25.4,26.7,28.6,28.6,28.0
0.06,41.8,21.2,23.1,25.2,24.2,23.5
0.064,40.4,17.6,20.8,22.3,19.8,19.3
0.068,36.8,14.7,17.2,19.0,17.5,17.0
0.07200000000000001,34.4,12.7,15.4,16.3,14.5,14.4
0.076,31.9,10.1,13.2,13.6,12.3,12.0
0.08,28.5,8.6,11.5,11.6,10.3,11.1
0.084,26.8,6.1,10.3,10.6,9.0,8.5
0.088,24.7,4.6,8.2,9.3,7.4,7.1
0.092,23.2,3.5,7.2,7.7,5.7,6.6
0.096,21.6,2.1,5.5,6.3,5.1,5.4
0.1,20.1,1.7,5.2,5.9,3.9,4.5
